Java HotSpot(TM) 64-Bit Server VM (25.66-b17) for linux-amd64 JRE (1.8.0_66-b17), built on Oct  6 2015 17:28:34 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 16466924k(12326868k free), swap 0k(0k free)
CommandLine flags: -XX:CMSFullGCsBeforeCompaction=0 -XX:CMSInitiatingOccupancyFraction=65 -XX:CMSTriggerRatio=70 -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/workspace/carkey/AppFinanceExternalData/logs/heapdump.hprof -XX:InitialHeapSize=2147483648 -XX:+ManagementServer -XX:MaxHeapSize=2147483648 -XX:MaxMetaspaceSize=268435456 -XX:MaxNewSize=838860800 -XX:MaxTenuringThreshold=6 -XX:MetaspaceSize=268435456 -XX:NewSize=838860800 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCMSCompactAtFullCollection -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2019-12-05T17:00:26.699+0800: 3.418: [GC (Allocation Failure) 2019-12-05T17:00:26.700+0800: 3.418: [ParNew: 655360K->51045K(737280K), 0.0907107 secs] 655360K->51045K(2015232K), 0.0908707 secs] [Times: user=0.26 sys=0.03, real=0.09 secs] 
2019-12-05T17:00:30.789+0800: 7.508: [GC (Allocation Failure) 2019-12-05T17:00:30.789+0800: 7.508: [ParNew: 706405K->57282K(737280K), 0.1543350 secs] 706405K->83083K(2015232K), 0.1544520 secs] [Times: user=0.43 sys=0.04, real=0.15 secs] 
2019-12-05T17:00:34.180+0800: 10.899: [GC (Allocation Failure) 2019-12-05T17:00:34.180+0800: 10.899: [ParNew: 712642K->27422K(737280K), 0.0532559 secs] 738443K->69303K(2015232K), 0.0533991 secs] [Times: user=0.16 sys=0.01, real=0.05 secs] 
2019-12-05T17:08:27.493+0800: 484.211: [GC (Allocation Failure) 2019-12-05T17:08:27.493+0800: 484.212: [ParNew: 682782K->53309K(737280K), 0.0409695 secs] 724663K->95190K(2015232K), 0.0412626 secs] [Times: user=0.15 sys=0.00, real=0.04 secs] 
2019-12-05T17:34:58.964+0800: 2075.683: [GC (Allocation Failure) 2019-12-05T17:34:58.965+0800: 2075.683: [ParNew: 708669K->81920K(737280K), 0.0867998 secs] 750550K->147394K(2015232K), 0.0872768 secs] [Times: user=0.30 sys=0.02, real=0.09 secs] 
2019-12-05T18:16:02.955+0800: 4539.673: [GC (Allocation Failure) 2019-12-05T18:16:02.955+0800: 4539.674: [ParNew: 737280K->71817K(737280K), 0.1134067 secs] 802754K->218671K(2015232K), 0.1138664 secs] [Times: user=0.28 sys=0.03, real=0.11 secs] 
2019-12-05T19:02:24.767+0800: 7321.486: [GC (Allocation Failure) 2019-12-05T19:02:24.768+0800: 7321.486: [ParNew: 727177K->41351K(737280K), 0.0306393 secs] 874031K->188206K(2015232K), 0.0310933 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2019-12-05T19:52:07.913+0800: 10304.632: [GC (Allocation Failure) 2019-12-05T19:52:07.913+0800: 10304.632: [ParNew: 696711K->51184K(737280K), 0.0325189 secs] 843566K->198039K(2015232K), 0.0329610 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2019-12-05T20:42:52.202+0800: 13348.920: [GC (Allocation Failure) 2019-12-05T20:42:52.202+0800: 13348.921: [ParNew: 706544K->58726K(737280K), 0.0451929 secs] 853399K->205580K(2015232K), 0.0456477 secs] [Times: user=0.16 sys=0.00, real=0.05 secs] 
2019-12-05T21:32:53.099+0800: 16349.817: [GC (Allocation Failure) 2019-12-05T21:32:53.099+0800: 16349.818: [ParNew: 714086K->64016K(737280K), 0.0374017 secs] 860940K->210871K(2015232K), 0.0378666 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2019-12-05T22:22:44.896+0800: 19341.615: [GC (Allocation Failure) 2019-12-05T22:22:44.896+0800: 19341.615: [ParNew: 719376K->39683K(737280K), 0.0476606 secs] 866231K->207156K(2015232K), 0.0481227 secs] [Times: user=0.15 sys=0.00, real=0.05 secs] 
2019-12-05T23:17:41.739+0800: 22638.458: [GC (Allocation Failure) 2019-12-05T23:17:41.739+0800: 22638.458: [ParNew: 695043K->31905K(737280K), 0.0274777 secs] 862516K->199379K(2015232K), 0.0279428 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-06T00:22:26.223+0800: 26522.942: [GC (Allocation Failure) 2019-12-06T00:22:26.223+0800: 26522.942: [ParNew: 687265K->23499K(737280K), 0.0333141 secs] 854739K->198274K(2015232K), 0.0337806 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2019-12-06T01:30:02.869+0800: 30579.588: [GC (Allocation Failure) 2019-12-06T01:30:02.870+0800: 30579.588: [ParNew: 678859K->24953K(737280K), 0.0346264 secs] 853634K->203611K(2015232K), 0.0351022 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
2019-12-06T02:53:42.870+0800: 35599.589: [GC (Allocation Failure) 2019-12-06T02:53:42.871+0800: 35599.589: [ParNew: 680313K->29988K(737280K), 0.0341045 secs] 858971K->211456K(2015232K), 0.0345541 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
2019-12-06T04:28:06.644+0800: 41263.363: [GC (Allocation Failure) 2019-12-06T04:28:06.645+0800: 41263.363: [ParNew: 685348K->18737K(737280K), 0.0273656 secs] 866816K->203153K(2015232K), 0.0278283 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-06T06:04:31.088+0800: 47047.807: [GC (Allocation Failure) 2019-12-06T06:04:31.089+0800: 47047.808: [ParNew: 674097K->16548K(737280K), 0.0270808 secs] 858513K->203225K(2015232K), 0.0275508 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-06T07:32:20.226+0800: 52316.945: [GC (Allocation Failure) 2019-12-06T07:32:20.227+0800: 52316.945: [ParNew: 671908K->14958K(737280K), 0.0279840 secs] 858585K->203820K(2015232K), 0.0284344 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-06T08:39:42.849+0800: 56359.567: [GC (Allocation Failure) 2019-12-06T08:39:42.849+0800: 56359.568: [ParNew: 670317K->15196K(737280K), 0.0240609 secs] 859179K->205753K(2015232K), 0.0245112 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2019-12-06T09:37:09.190+0800: 59805.909: [GC (Allocation Failure) 2019-12-06T09:37:09.190+0800: 59805.909: [ParNew: 670556K->16655K(737280K), 0.0228693 secs] 861113K->208719K(2015232K), 0.0233317 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-06T10:23:54.773+0800: 62611.492: [GC (Allocation Failure) 2019-12-06T10:23:54.773+0800: 62611.492: [ParNew: 672015K->12212K(737280K), 0.0223755 secs] 864079K->206031K(2015232K), 0.0228334 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-06T11:07:01.527+0800: 65198.246: [GC (Allocation Failure) 2019-12-06T11:07:01.528+0800: 65198.246: [ParNew: 667565K->14770K(737280K), 0.0219250 secs] 861385K->209346K(2015232K), 0.0224233 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-06T11:53:50.611+0800: 68007.330: [GC (Allocation Failure) 2019-12-06T11:53:50.612+0800: 68007.330: [ParNew: 670130K->17757K(737280K), 0.0230358 secs] 864706K->213004K(2015232K), 0.0234923 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2019-12-06T12:38:49.438+0800: 70706.157: [GC (Allocation Failure) 2019-12-06T12:38:49.438+0800: 70706.157: [ParNew: 673112K->18871K(737280K), 0.0235596 secs] 868358K->214859K(2015232K), 0.0240292 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2019-12-06T13:27:41.156+0800: 73637.875: [GC (Allocation Failure) 2019-12-06T13:27:41.156+0800: 73637.875: [ParNew: 674231K->20512K(737280K), 0.0247792 secs] 870219K->218201K(2015232K), 0.0252175 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2019-12-06T14:15:29.223+0800: 76505.942: [GC (Allocation Failure) 2019-12-06T14:15:29.223+0800: 76505.942: [ParNew: 675872K->15041K(737280K), 0.0275234 secs] 873561K->214279K(2015232K), 0.0279692 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2019-12-06T14:59:08.939+0800: 79125.658: [GC (Allocation Failure) 2019-12-06T14:59:08.939+0800: 79125.658: [ParNew: 670401K->18679K(737280K), 0.0265755 secs] 869639K->219684K(2015232K), 0.0270245 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-06T15:39:06.871+0800: 81523.589: [GC (Allocation Failure) 2019-12-06T15:39:06.871+0800: 81523.590: [ParNew: 674039K->17443K(737280K), 0.0265760 secs] 875044K->220195K(2015232K), 0.0270259 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2019-12-06T16:20:35.248+0800: 84011.967: [GC (Allocation Failure) 2019-12-06T16:20:35.248+0800: 84011.967: [ParNew: 672803K->20107K(737280K), 0.0269948 secs] 875555K->224413K(2015232K), 0.0274596 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
